Allocation Subcategory,City,College,Gift Allocation,Gift Amount,Gift Date,Major,Prospect ID,State
Trustees Fund,Sacramento,College of Agriculture and Natural Resources,Endowment,5051,4/7/2014,Environmental Studies and Agriscience,2756,CA
Campus Recreation,Sacramento,College of Agriculture and Natural Resources,Campus Resource,5051,11/2/2015,Environmental Studies and Agriscience,2756,CA
University Annual Fund,Los Angeles,College of Business,Endowment,9981,12/11/2014,Human Resource Management,2757,CA
Diversity Fund,Los Angeles,College of Business,Endowment,9981,6/11/2015,Human Resource Management,2757,CA
College of Natural Science,Atlanta,College of Natural Science,Scholarship,2818,7/11/2014,Biomedical Laboratory Science,2758,GA
Diversity Fund,Atlanta,College of Natural Science,Endowment,2818,1/24/2015,Biomedical Laboratory Science,2758,GA
Honors Program,Portland,College of Communication Arts and Sciences,Campus Resource,4269,12/30/2014,Media and Information,2759,OR
College of Business,Portland,College of Communication Arts and Sciences,Scholarship,4269,8/22/2015,Media and Information,2759,OR
College of Business,Colorado Springs,College of Political Science,Scholarship,8942,4/20/2014,Political Theory and Constitutional Democracy,2760,CO
Trustees Fund,Colorado Springs,College of Political Science,Endowment,8942,1/31/2015,Political Theory and Constitutional Democracy,2760,CO
College of Natural Science,Provo,College of Social Science,Scholarship,1132,1/15/2014,Geography,2761,UT
College of Natural Science,Provo,College of Social Science,Scholarship,1132,3/27/2015,Geography,2761,UT
College of Social Science,San Antonio,College of Education,Scholarship,2070,10/29/2014,Athletic Training,2762,TX
Faculty Chair Endowments,San Antonio,College of Education,Endowment,2070,11/1/2015,Athletic Training,2762,TX
Campus Museums,Overland Park,College of Natural Science,Campus Resource,4571,9/9/2014,Mathematics,2763,KS
Trustees Fund,Overland Park,College of Natural Science,Endowment,4571,12/3/2015,Mathematics,2763,KS
Campus Recreation,Alexandria,College of Agriculture and Natural Resources,Campus Resource,2449,10/5/2014,Environmental Economics and Policy,2764,VA
College of Natural Science,Alexandria,College of Agriculture and Natural Resources,Scholarship,2449,10/19/2015,Environmental Economics and Policy,2764,VA
University Annual Fund,North Las Vegas,College of Natural Science,Endowment,307,2/3/2014,Biochemistry and Molecular Biology/Biotechnology,2765,NV
Campus Recreation,North Las Vegas,College of Natural Science,Campus Resource,307,1/24/2015,Biochemistry and Molecular Biology/Biotechnology,2765,NV
College of Arts and Sciences,Cincinnati,College of Natural Science,Scholarship,8384,2/9/2014,Neuroscience,2766,OH
University Annual Fund,Cincinnati,College of Natural Science,Endowment,8384,9/28/2015,Neuroscience,2766,OH
Alumni Association,Charlotte,College of Social Science,Campus Resource,8315,5/8/2014,World Politics,2767,NC
College of Engineering,Charlotte,College of Social Science,Scholarship,8315,7/15/2015,World Politics,2767,NC
University Annual Fund,San Francisco,College of Arts and Sciences,Endowment,9566,9/15/2014,Philosophy,2768,CA
University Annual Fund,San Francisco,College of Arts and Sciences,Endowment,9566,7/1/2015,Philosophy,2768,CA
Honors Program,Lansing,College of Arts and Sciences,Campus Resource,3915,6/10/2014,Women's and Gender Studies,2769,MI
College of Arts and Sciences,Lansing,College of Arts and Sciences,Scholarship,3915,12/22/2015,Women's and Gender Studies,2769,MI
Faculty Chair Endowments,Dallas,College of Arts and Sciences,Endowment,5114,11/27/2014,German,2770,TX
College of Agriculture and Natural Resources,Dallas,College of Arts and Sciences,Scholarship,5114,12/12/2015,German,2770,TX
Trustees Fund,Washington,College of Social Science,Endowment,9533,2/16/2014,Urban and Regional Planning,2771,DC
University Annual Fund,Washington,College of Social Science,Endowment,9533,10/15/2015,Urban and Regional Planning,2771,DC
College of Agriculture and Natural Resources,Columbia,College of Arts and Sciences,Scholarship,1433,7/9/2014,Interdisciplinary Humanities,2772,SC
Diversity Fund,Columbia,College of Arts and Sciences,Endowment,1433,6/26/2015,Interdisciplinary Humanities,2772,SC
College of Agriculture and Natural Resources,San Francisco,College of Agriculture and Natural Resources,Scholarship,1490,5/9/2014,Animal Science,2773,CA
Honors Program,San Francisco,College of Agriculture and Natural Resources,Campus Resource,1490,6/16/2015,Animal Science,2773,CA
College of Social Science,Orlando,College of Natural Science,Scholarship,9202,9/21/2014,Neuroscience,2774,FL
Trustees Fund,Orlando,College of Natural Science,Endowment,9202,1/9/2015,Neuroscience,2774,FL
College of Social Science,Los Angeles,College of Natural Science,Scholarship,8395,2/8/2014,Mathematics,2775,CA
College of Social Science,Los Angeles,College of Natural Science,Scholarship,8395,10/18/2015,Mathematics,2775,CA
Faculty Chair Endowments,Seattle,College of Arts and Sciences,Endowment,1743,3/30/2014,Apparel and Textile Design,2776,WA
College of Music,Seattle,College of Arts and Sciences,Scholarship,1743,8/4/2015,Apparel and Textile Design,2776,WA
University Annual Fund,Naperville,College of Natural Science,Endowment,7275,10/8/2014,Predental,2777,IL
Campus Museums,Naperville,College of Natural Science,Campus Resource,7275,8/16/2015,Predental,2777,IL
Faculty Chair Endowments,New York,College of Natural Science,Endowment,7343,4/9/2014,Zoology,2778,NY
University Libraries,New York,College of Natural Science,Campus Resource,7343,12/8/2015,Zoology,2778,NY
Honors Program,Mesa,College of Music,Campus Resource,833,2/24/2014,Music,2779,AZ
Athletics,Mesa,College of Music,Campus Resource,833,12/19/2015,Music,2779,AZ
College of Arts and Sciences,Philadelphia,College of Engineering,Scholarship,3361,8/16/2014,Computer Science,2780,PA
Trustees Fund,Philadelphia,College of Engineering,Endowment,3361,5/2/2015,Computer Science,2780,PA
College of Veterinary Medicine,Denver,College of Agriculture and Natural Resources,Scholarship,14893.5,4/22/2014,Animal Science,2781,CO
Faculty Chair Endowments,Denver,College of Agriculture and Natural Resources,Endowment,14893.5,6/4/2015,Animal Science,2781,CO
In-State Scholarship Fund,Detroit,College of Agriculture and Natural Resources,Scholarship,9813,7/4/2014,Agriculture and Natural Resources-No Preference,2782,MI
College of Veterinary Medicine,Detroit,College of Agriculture and Natural Resources,Scholarship,9813,8/14/2015,Agriculture and Natural Resources-No Preference,2782,MI
College of Veterinary Medicine,Detroit,College of Natural Science,Scholarship,3301,7/31/2014,Environmental Biology/Plant Biol,2783,MI
College of Veterinary Medicine,Seattle,College of Arts and Sciences,Scholarship,8101,11/18/2014,Experience Architecture,2784,WA
Faculty Chair Endowments,Houston,College of Business,Endowment,5940,7/2/2014,Finance,2785,TX
Honors Program,Lexington,College of Social Science,Campus Resource,7150,7/2/2014,Psychology,2786,KY
Campus Recreation,Spokane,College of Arts and Sciences,Campus Resource,5547,12/20/2014,Philosophy,2787,WA
University Libraries,New York,College of Engineering,Campus Resource,4001,1/31/2014,Electrical Engineering,2788,NY
Trustees Fund,Cleveland,College of Veterinary Medicine,Endowment,5872,8/6/2014,Preveterinary,2789,OH
Parents Association,Seattle,College of Education,Campus Resource,254,7/17/2014,Education,2790,WA
College of Natural Science,Phoenix,College of Arts and Sciences,Scholarship,6998,11/16/2014,Spanish,2791,AZ
College of Natural Science,Lansing,College of Natural Science,Scholarship,5187,11/10/2014,Chemistry,2792,MI
College of Business,Phoenix,College of Engineering,Scholarship,7026,12/11/2014,Materials Science and Engineering,2793,AZ
Diversity Fund,New Orleans,College of Arts and Sciences,Endowment,3170,8/10/2014,Spanish,2794,LA
College of Business,Memphis,College of Natural Science,Scholarship,1050,11/21/2014,Chemistry,2795,TN
Trustees Fund,San Francisco,College of Education,Endowment,8695,11/22/2014,Kinesiology,2796,CA
University Annual Fund,Dallas,College of Social Science,Endowment,1495,12/22/2014,History,2797,TX
College of Natural Science,Chicago,College of Education,Scholarship,87,6/10/2014,Kinesiology,2798,IL
Minority Scholarship Fund,Orlando,College of Social Science,Scholarship,6177,2/15/2014,History,2799,FL
College of Social Science,Orlando,College of Agriculture and Natural Resources,Scholarship,237,3/20/2014,Landscape Architecture,2800,FL
Athletics,El Paso,College of Natural Science,Campus Resource,4942,8/5/2014,Astrophysics,2801,TX
College of Natural Science,Denver,College of Agriculture and Natural Resources,Scholarship,5472,6/27/2014,Natural Resource Recreation and Tourism,2802,CO
Diversity Fund,Denver,College of Arts and Sciences,Endowment,4975.5,12/23/2014,Arabic,2803,CO
University Annual Fund,Seattle,College of Engineering,Endowment,7028,3/9/2014,Computer Science,2804,WA
Honors Program,Salem,College of Natural Science,Campus Resource,8684,1/18/2014,Preoptometry,2805,OR
Trustees Fund,Seattle,College of Natural Science,Endowment,795,11/6/2014,Mathematics,2806,WA
College of Natural Science,Chicago,College of Engineering,Scholarship,5508,4/21/2014,Engineering-No Major,2807,IL
College of Natural Science,Phoenix,College of Engineering,Scholarship,334,5/18/2014,Computer Science,2808,AZ
Faculty Chair Endowments,San Diego,College of Social Science,Endowment,5904,5/8/2014,History Education,2809,CA
College of Social Science,Tulsa,College of Agriculture and Natural Resources,Scholarship,4857,2/7/2014,Animal Science,2810,OK
College of Natural Science,Los Angeles,College of Natural Science,Scholarship,8145,5/15/2014,Chemical Physics,2811,CA
Trustees Fund,Philadelphia,College of Engineering,Endowment,3364,8/1/2014,Computer Engineering,2812,PA
Faculty Chair Endowments,Indianapolis,College of Social Science,Endowment,1943,11/22/2014,Geography,2813,IN
College of Natural Science,Phoenix,College of Arts and Sciences,Scholarship,8531,10/17/2014,English,2814,AZ
In-State Scholarship Fund,Boston,College of Arts and Sciences,Scholarship,6647,7/4/2014,Studio Art,2815,MA
Diversity Fund,Anaheim,College of Arts and Sciences,Endowment,1550,2/22/2014,Global Studies in the Arts and Humanities,2816,CA
College of Agriculture and Natural Resources,Henderson,College of Political Science,Scholarship,8720,7/17/2014,College of Political Science,2817,NV
Campus Recreation,Phoenix,College of Social Science,Campus Resource,1810,3/19/2014,Geographic Information Science,2818,AZ
University Libraries,Rochester,College of Arts and Sciences,Campus Resource,2576,12/18/2014,Women's and Gender Studies,2819,NY
University Libraries,Cedar Rapids,College of Arts and Sciences,Campus Resource,2132,1/3/2014,Humanities-Prelaw,2820,IA
University Annual Fund,New Haven,College of Natural Science,Endowment,4357,9/26/2014,Astrophysics,2821,CT
Diversity Fund,San Diego,College of Natural Science,Endowment,1720,9/23/2014,Biomedical Laboratory Science,2822,CA
Diversity Fund,Casper,College of Business,Endowment,9538,5/2/2014,Human Resource Management,2823,WY
College of Social Science,Denver,College of Music,Scholarship,12316.5,9/19/2014,Composition,2824,CO
College of Social Science,New Orleans,College of Social Science,Scholarship,1039,9/10/2014,Geography,2825,LA
College of Natural Science,Paterson,College of Political Science,Scholarship,6993,12/8/2014,Political Theory and Constitutional Democracy,2826,NJ
Alumni Association,Denver,College of Communication Arts and Sciences,Campus Resource,9523.5,10/11/2014,Media and Information,2827,CO
College of Natural Science,Seattle,College of Music,Scholarship,9221,2/26/2014,Jazz Studies,2828,WA
College of Natural Science,St. Louis,College of Arts and Sciences,Scholarship,7047,3/21/2014,Philosophy,2829,MO
Parents Association,Tallahassee,College of Natural Science,Campus Resource,498,5/18/2014,Actuarial Science,2830,FL
College of Natural Science,Salem,College of Arts and Sciences,Scholarship,7085,9/6/2014,French,2831,OR
College of Natural Science,Phoenix,College of Music,Scholarship,4884,10/26/2014,Jazz Studies,2832,AZ
Trustees Fund,Chicago,College of Natural Science,Endowment,2741,5/23/2014,Environmental Biology/Plant Biol,2833,IL
Trustees Fund,Chicago,College of Agriculture and Natural Resources,Endowment,5389,12/27/2014,Interior Design,2834,IL
Campus Museums,San Diego,College of Communication Arts and Sciences,Campus Resource,5678,10/18/2014,Media and Information,2835,CA
College of Natural Science,Los Angeles,College of Social Science,Scholarship,3345,12/6/2014,Interdisciplinary Studies in Social Science,2836,CA
College of Political Science,Denver,College of Natural Science,Scholarship,7552.5,7/14/2014,Earth Science Interdepartmental,2837,CO
College of Political Science,Denver,College of Education,Scholarship,11241,7/1/2014,Kinesiology,2838,CO
Trustees Fund,Reno,College of Music,Endowment,6733,1/6/2014,Composition,2839,NV
College of Engineering,San Francisco,College of Social Science,Scholarship,6219,3/4/2014,Geographic Information Science,2840,CA
College of Engineering,Hartford,College of Arts and Sciences,Scholarship,639,6/9/2014,Humanities-Prelaw,2841,CT
Trustees Fund,Denver,College of Social Science,Endowment,9757.5,7/25/2014,Interdisciplinary Studies in Social Science,2842,CO
University Libraries,Overland Park,College of Arts and Sciences,Campus Resource,4151,2/26/2014,English,2843,KS
College of Agriculture and Natural Resources,Jacksonville,College of Agriculture and Natural Resources,Scholarship,3757,6/26/2014,Nutritional Sciences,2844,FL
College of Agriculture and Natural Resources,Springfield,College of Engineering,Scholarship,4962,3/6/2014,Computer Engineering,2845,IL
College of Natural Science,Lansing,College of Communication Arts and Sciences,Scholarship,1925,2/28/2014,Advertising,2846,MI
Campus Recreation,Tulsa,College of Social Science,Campus Resource,5023,8/10/2014,Geography,2847,OK
Diversity Fund,Washington,College of Social Science,Endowment,2251,3/14/2014,Geography,2848,DC
